Filter,N,FPR_Target,Workload,NegShare,LoadFactor,Threads,FPBits,Insert_s,Query_s,FalsePosRate,BPE
cuckoo,1000000,0.01,read-only,0.5,1,2,8,0.0310447,0.0290217,0.009678,16
cuckoo,1000000,0.01,read-only,0.5,1,2,12,0.0312838,0.0288451,0.009678,16
cuckoo,1000000,0.01,read-only,0.5,1,2,16,0.030812,0.0287106,0.009678,16
cuckoo,1000000,0.01,read-only,0.5,1,4,8,0.0325472,0.0286476,0.009675,16
cuckoo,1000000,0.01,read-only,0.5,1,4,12,0.0313037,0.0287579,0.00968,16
cuckoo,1000000,0.01,read-only,0.5,1,4,16,0.0310927,0.0310636,0.009678,16
cuckoo,1000000,0.01,read-only,0.5,1,8,8,0.0334501,0.0291983,0.009679,16
cuckoo,1000000,0.01,read-only,0.5,1,8,12,0.0329159,0.0361249,0.00968,16
cuckoo,1000000,0.01,read-only,0.5,1,8,16,0.0443481,0.0314683,0.009677,16
cuckoo,1000000,0.01,read-only,0.9,1,1,8,0.0351365,0.0255804,0.017359,16
cuckoo,1000000,0.01,read-only,0.9,1,1,12,0.0310022,0.0253784,0.017361,16
cuckoo,1000000,0.01,read-only,0.9,1,1,16,0.0310867,0.0256686,0.017366,16
cuckoo,1000000,0.01,read-only,0.9,1,2,8,0.031486,0.0250205,0.017359,16
cuckoo,1000000,0.01,read-only,0.9,1,2,12,0.0314235,0.0255008,0.017361,16
cuckoo,1000000,0.01,read-only,0.9,1,2,16,0.0309715,0.0251396,0.017364,16
cuckoo,1000000,0.01,read-only,0.9,1,4,8,0.0353351,0.0254757,0.017366,16
cuckoo,1000000,0.01,read-only,0.9,1,4,12,0.0309008,0.0254659,0.017365,16
cuckoo,1000000,0.01,read-only,0.9,1,4,16,0.0312794,0.026524,0.017362,16
cuckoo,1000000,0.01,read-only,0.9,1,8,8,0.031765,0.0267733,0.017367,16
cuckoo,1000000,0.01,read-only,0.9,1,8,12,0.0312236,0.0265109,0.017359,16
cuckoo,1000000,0.01,read-only,0.9,1,8,16,0.0313775,0.025712,0.01736,16
cuckoo,1000000,0.01,read-mostly,0,1,1,8,0.0311184,0.0328661,0,16
cuckoo,1000000,0.01,read-mostly,0,1,1,12,0.0313758,0.0321523,0,16
cuckoo,1000000,0.01,read-mostly,0,1,1,16,0.0308502,0.0330738,0,16
cuckoo,1000000,0.01,read-mostly,0,1,2,8,0.032143,0.0318468,0,16
cuckoo,1000000,0.01,read-mostly,0,1,2,12,0.0308226,0.0322155,0,16
cuckoo,1000000,0.01,read-mostly,0,1,2,16,0.0307249,0.0321004,0,16
cuckoo,1000000,0.01,read-mostly,0,1,4,8,0.0314322,0.032059,0,16
cuckoo,1000000,0.01,read-mostly,0,1,4,12,0.0317864,0.0327036,0,16
